Counter,YLeftRaw,YLeft^2,YLeft^3,lefthalo, vlefthalo,vlefthalo^2,Deadband,Exoscale
98,-0.0703125,0.00494384765625,-3.476142883300781E-4,-0.019672591510614866,-0.04918147877653717,0.0024188178546469758,0.02,0.62793
99,-0.0703125,0.00494384765625,-3.476142883300781E-4,-0.019672591510614866,-0.04918147877653717,0.0024188178546469758,0.02,0.62793
100,-0.0703125,0.00494384765625,-3.476142883300781E-4,-0.019672591510614866,-0.04918147877653717,0.0024188178546469758,0.02,0.62793
101,-0.078125,0.006103515625,-4.76837158203125E-4,-0.022759697636105334,-0.05689924409026333,0.0032375239780433667,0.02,0.62793
102,-0.078125,0.006103515625,-4.76837158203125E-4,-0.022759697636105334,-0.05689924409026333,0.0032375239780433667,0.02,0.62793
103,-0.0859375,0.00738525390625,-6.346702575683594E-4,-0.025860790457960185,-0.06465197614490047,0.004179878019440779,0.02,0.62793
104,-0.0859375,0.00738525390625,-6.346702575683594E-4,-0.025860790457960185,-0.06465197614490047,0.004179878019440779,0.02,0.62793
105,-0.0859375,0.00738525390625,-6.346702575683594E-4,-0.025860790457960185,-0.06465197614490047,0.004179878019440779,0.02,0.62793
106,-0.0859375,0.00738525390625,-6.346702575683594E-4,-0.025860790457960185,-0.06465197614490047,0.004179878019440779,0.02,0.62793
107,-0.09375,0.0087890625,-8.23974609375E-4,-0.028977749908486474,-0.07244437477121618,0.005248187435992423,0.02,0.62793
108,-0.09375,0.0087890625,-8.23974609375E-4,-0.028977749908486474,-0.07244437477121618,0.005248187435992423,0.02,0.62793
109,-0.09375,0.0087890625,-8.23974609375E-4,-0.028977749908486474,-0.07244437477121618,0.005248187435992423,0.02,0.62793
110,-0.09375,0.0087890625,-8.23974609375E-4,-0.028977749908486474,-0.07244437477121618,0.005248187435992423,0.02,0.62793
111,-0.1015625,0.01031494140625,-0.0010476112365722656,-0.03211245591999122,-0.08028113979997806,0.006445061407583621,0.02,0.62793
112,-0.1015625,0.01031494140625,-0.0010476112365722656,-0.03211245591999122,-0.08028113979997806,0.006445061407583621,0.02,0.62793
113,-0.1015625,0.01031494140625,-0.0010476112365722656,-0.03211245591999122,-0.08028113979997806,0.006445061407583621,0.02,0.62793
114,-0.1015625,0.01031494140625,-0.0010476112365722656,-0.03211245591999122,-0.08028113979997806,0.006445061407583621,0.02,0.62793
115,-0.109375,0.011962890625,-0.001308441162109375,-0.03526678842478148,-0.0881669710619537,0.007773414786239382,0.02,0.62793
116,-0.109375,0.011962890625,-0.001308441162109375,-0.03526678842478148,-0.0881669710619537,0.007773414786239382,0.02,0.62793
117,-0.109375,0.011962890625,-0.001308441162109375,-0.03526678842478148,-0.0881669710619537,0.007773414786239382,0.02,0.62793
118,-0.109375,0.011962890625,-0.001308441162109375,-0.03526678842478148,-0.0881669710619537,0.007773414786239382,0.02,0.62793
119,-0.1171875,0.01373291015625,-0.0016093254089355469,-0.03844262735516429,-0.09610656838791072,0.009236472487300161,0.02,0.62793
120,-0.1171875,0.01373291015625,-0.0016093254089355469,-0.03844262735516429,-0.09610656838791072,0.009236472487300161,0.02,0.62793
121,-0.1171875,0.01373291015625,-0.0016093254089355469,-0.03844262735516429,-0.09610656838791072,0.009236472487300161,0.02,0.62793
122,-0.1171875,0.01373291015625,-0.0016093254089355469,-0.03844262735516429,-0.09610656838791072,0.009236472487300161,0.02,0.62793
123,-0.1171875,0.01373291015625,-0.0016093254089355469,-0.03844262735516429,-0.09610656838791072,0.009236472487300161,0.02,0.62793
124,-0.1171875,0.01373291015625,-0.0016093254089355469,-0.03844262735516429,-0.09610656838791072,0.009236472487300161,0.02,0.62793
125,-0.1171875,0.01373291015625,-0.0016093254089355469,-0.03844262735516429,-0.09610656838791072,0.009236472487300161,0.02,0.62793
126,-0.1171875,0.01373291015625,-0.0016093254089355469,-0.03844262735516429,-0.09610656838791072,0.009236472487300161,0.02,0.62793
127,-0.125,0.015625,-0.001953125,-0.04164185264344669,-0.10410463160861673,0.010837774322365802,0.02,0.62793
128,-0.125,0.015625,-0.001953125,-0.04164185264344669,-0.10410463160861673,0.010837774322365802,0.02,0.62793
129,-0.125,0.015625,-0.001953125,-0.04164185264344669,-0.10410463160861673,0.010837774322365802,0.02,0.62793
130,-0.125,0.015625,-0.001953125,-0.04164185264344669,-0.10410463160861673,0.010837774322365802,0.02,0.62793
131,-0.1328125,0.01763916015625,-0.002342700958251953,-0.044866344221935715,-0.11216586055483929,0.012581180274007652,0.02,0.62793
132,-0.1328125,0.01763916015625,-0.002342700958251953,-0.044866344221935715,-0.11216586055483929,0.012581180274007652,0.02,0.62793
133,-0.1328125,0.01763916015625,-0.002342700958251953,-0.044866344221935715,-0.11216586055483929,0.012581180274007652,0.02,0.62793
134,-0.1328125,0.01763916015625,-0.002342700958251953,-0.044866344221935715,-0.11216586055483929,0.012581180274007652,0.02,0.62793
135,-0.140625,0.019775390625,-0.002780914306640625,-0.04811798202293841,-0.12029495505734603,0.0144708762122489,0.02,0.62793
136,-0.140625,0.019775390625,-0.002780914306640625,-0.04811798202293841,-0.12029495505734603,0.0144708762122489,0.02,0.62793
137,-0.140625,0.019775390625,-0.002780914306640625,-0.04811798202293841,-0.12029495505734603,0.0144708762122489,0.02,0.62793
138,-0.140625,0.019775390625,-0.002780914306640625,-0.04811798202293841,-0.12029495505734603,0.0144708762122489,0.02,0.62793
139,-0.140625,0.019775390625,-0.002780914306640625,-0.04811798202293841,-0.12029495505734603,0.0144708762122489,0.02,0.62793
140,-0.140625,0.019775390625,-0.002780914306640625,-0.04811798202293841,-0.12029495505734603,0.0144708762122489,0.02,0.62793
141,-0.1484375,0.02203369140625,-0.0032706260681152344,-0.051398645978761835,-0.1284966149469046,0.016511380052813066,0.02,0.62793
142,-0.1484375,0.02203369140625,-0.0032706260681152344,-0.051398645978761835,-0.1284966149469046,0.016511380052813066,0.02,0.62793
143,-0.1484375,0.02203369140625,-0.0032706260681152344,-0.051398645978761835,-0.1284966149469046,0.016511380052813066,0.02,0.62793
144,-0.1484375,0.02203369140625,-0.0032706260681152344,-0.051398645978761835,-0.1284966149469046,0.016511380052813066,0.02,0.62793
145,-0.1484375,0.02203369140625,-0.0032706260681152344,-0.051398645978761835,-0.1284966149469046,0.016511380052813066,0.02,0.62793
146,-0.15625,0.0244140625,-0.003814697265625,-0.054710216021713005,-0.13677554005428252,0.018707548357140644,0.02,0.62793
147,-0.15625,0.0244140625,-0.003814697265625,-0.054710216021713005,-0.13677554005428252,0.018707548357140644,0.02,0.62793
148,-0.15625,0.0244140625,-0.003814697265625,-0.054710216021713005,-0.13677554005428252,0.018707548357140644,0.02,0.62793
149,-0.15625,0.0244140625,-0.003814697265625,-0.054710216021713005,-0.13677554005428252,0.018707548357140644,0.02,0.62793
150,-0.15625,0.0244140625,-0.003814697265625,-0.054710216021713005,-0.13677554005428252,0.018707548357140644,0.02,0.62793
151,-0.15625,0.0244140625,-0.003814697265625,-0.054710216021713005,-0.13677554005428252,0.018707548357140644,0.02,0.62793
